id,name,time,line_id,trip_number,stop_order
1,PARANGABA,1578646800,1,1,1
2,MONTESE,1578646980,1,1,2
3,VILA UNIÃO,1578647280,1,1,3
4,BORGES DE MELO,1578647520,1,1,4
5,SÃO JOÃO DO TAUAPE,1578647760,1,1,5
6,PONTES VIEIRA,1578648060,1,1,6
7,ANTÔNIO SALES,1578648240,1,1,7
8,PAPICU,1578648540,1,1,8
9,PAPICU,1578646800,2,1,1
10,ANTÔNIO SALES,1578647100,2,1,2
11,PONTES VIEIRA,1578647280,2,1,3
12,SÃO JOÃO DO TAUAPE,1578647580,2,1,4
13,BORGES DE MELO,1578647820,2,1,5
14,VILA UNIÃO,1578648060,2,1,6
15,MONTESE,1578648360,2,1,7
16,PARANGABA,1578648540,2,1,8
